metric,side,threshold,sample_count,pearson_corr,spearman_corr
return_std_1m_5m,up,0.52,8060,-0.014566,-0.001074
return_std_1m_5m,up,0.53,8060,-0.010413,0.012418
return_std_1m_5m,up,0.54,8060,-0.012852,0.005568
return_std_1m_5m,up,0.55,8060,-0.0036,0.010236
return_std_1m_5m,up,0.56,8060,-0.005527,0.011172
return_std_1m_5m,up,0.57,8060,-0.005966,0.009242
return_std_1m_5m,up,0.58,8060,-0.005846,0.008704
return_std_1m_5m,down,0.52,8060,-0.005848,-0.011125
return_std_1m_5m,down,0.53,8060,-0.002104,-0.007496
return_std_1m_5m,down,0.54,8060,-0.007008,-0.011426
return_std_1m_5m,down,0.55,8060,-0.008663,-0.016509
return_std_1m_5m,down,0.56,8060,-0.008317,-0.013882
return_std_1m_5m,down,0.57,8060,-0.009061,-0.014951
return_std_1m_5m,down,0.58,8060,-0.010054,-0.015841
abs_return_sum_1m_5m,up,0.52,8060,-0.010508,0.002814
abs_return_sum_1m_5m,up,0.53,8060,-0.006132,0.013519
abs_return_sum_1m_5m,up,0.54,8060,-0.008327,0.007663
abs_return_sum_1m_5m,up,0.55,8060,0.002891,0.014474
abs_return_sum_1m_5m,up,0.56,8060,0.000468,0.014997
abs_return_sum_1m_5m,up,0.57,8060,-0.000988,0.013051
abs_return_sum_1m_5m,up,0.58,8060,-0.000575,0.012839
abs_return_sum_1m_5m,down,0.52,8060,-0.00548,-0.005687
abs_return_sum_1m_5m,down,0.53,8060,0.000667,-0.002165
abs_return_sum_1m_5m,down,0.54,8060,-0.003382,-0.005769
abs_return_sum_1m_5m,down,0.55,8060,-0.00439,-0.011424
abs_return_sum_1m_5m,down,0.56,8060,-0.006387,-0.009643
abs_return_sum_1m_5m,down,0.57,8060,-0.004655,-0.009159
abs_return_sum_1m_5m,down,0.58,8060,-0.006472,-0.012158
realized_vol_1m_5m,up,0.52,8060,-0.016761,-0.000643
realized_vol_1m_5m,up,0.53,8060,-0.010029,0.012891
realized_vol_1m_5m,up,0.54,8060,-0.010348,0.008026
realized_vol_1m_5m,up,0.55,8060,0.000514,0.014269
realized_vol_1m_5m,up,0.56,8060,-0.00063,0.016084
realized_vol_1m_5m,up,0.57,8060,-0.002502,0.013747
realized_vol_1m_5m,up,0.58,8060,-0.002508,0.013435
realized_vol_1m_5m,down,0.52,8060,-0.008327,-0.010524
realized_vol_1m_5m,down,0.53,8060,-0.002261,-0.005523
realized_vol_1m_5m,down,0.54,8060,-0.005585,-0.009528
realized_vol_1m_5m,down,0.55,8060,-0.006355,-0.014222
realized_vol_1m_5m,down,0.56,8060,-0.007779,-0.011247
realized_vol_1m_5m,down,0.57,8060,-0.00733,-0.011673
realized_vol_1m_5m,down,0.58,8060,-0.008331,-0.013612
range_pct_5m,up,0.52,8060,-0.009015,0.009408
range_pct_5m,up,0.53,8060,0.002578,0.02102
range_pct_5m,up,0.54,8060,0.004468,0.018226
range_pct_5m,up,0.55,8060,0.010736,0.021272
range_pct_5m,up,0.56,8060,0.00925,0.022746
range_pct_5m,up,0.57,8060,0.005483,0.018336
range_pct_5m,up,0.58,8060,0.006627,0.020171
range_pct_5m,down,0.52,8060,-0.00531,0.005675
range_pct_5m,down,0.53,8060,0.001288,0.010423
range_pct_5m,down,0.54,8060,0.000547,0.005409
range_pct_5m,down,0.55,8060,0.00196,0.003885
range_pct_5m,down,0.56,8060,0.000398,0.005784
range_pct_5m,down,0.57,8060,0.001412,0.00599
range_pct_5m,down,0.58,8060,-0.000432,0.002934
net_move_pct_5m,up,0.52,8060,-0.078158,-0.094569
net_move_pct_5m,up,0.53,8060,-0.081409,-0.097968
net_move_pct_5m,up,0.54,8060,-0.084752,-0.100151
net_move_pct_5m,up,0.55,8060,-0.079555,-0.094279
net_move_pct_5m,up,0.56,8060,-0.079807,-0.08982
net_move_pct_5m,up,0.57,8060,-0.077076,-0.085645
net_move_pct_5m,up,0.58,8060,-0.072172,-0.078005
net_move_pct_5m,down,0.52,8060,0.107946,0.119354
net_move_pct_5m,down,0.53,8060,0.103333,0.113079
net_move_pct_5m,down,0.54,8060,0.098207,0.108726
net_move_pct_5m,down,0.55,8060,0.091567,0.099794
net_move_pct_5m,down,0.56,8060,0.086609,0.096589
net_move_pct_5m,down,0.57,8060,0.078857,0.088307
net_move_pct_5m,down,0.58,8060,0.072221,0.079865
