metric,side,threshold,sample_count,pearson_corr,spearman_corr
net_move_pct_5m,down,0.52,8060,0.107946,0.119354
net_move_pct_5m,down,0.53,8060,0.103333,0.113079
net_move_pct_5m,down,0.54,8060,0.098207,0.108726
net_move_pct_5m,down,0.55,8060,0.091567,0.099794
net_move_pct_5m,down,0.56,8060,0.086609,0.096589
net_move_pct_5m,down,0.57,8060,0.078857,0.088307
net_move_pct_5m,down,0.58,8060,0.072221,0.079865
range_pct_5m,up,0.56,8060,0.00925,0.022746
range_pct_5m,up,0.55,8060,0.010736,0.021272
range_pct_5m,up,0.53,8060,0.002578,0.02102
range_pct_5m,up,0.58,8060,0.006627,0.020171
range_pct_5m,up,0.57,8060,0.005483,0.018336
range_pct_5m,up,0.54,8060,0.004468,0.018226
realized_vol_1m_5m,up,0.56,8060,-0.00063,0.016084
abs_return_sum_1m_5m,up,0.56,8060,0.000468,0.014997
abs_return_sum_1m_5m,up,0.55,8060,0.002891,0.014474
realized_vol_1m_5m,up,0.55,8060,0.000514,0.014269
realized_vol_1m_5m,up,0.57,8060,-0.002502,0.013747
abs_return_sum_1m_5m,up,0.53,8060,-0.006132,0.013519
realized_vol_1m_5m,up,0.58,8060,-0.002508,0.013435
