metric,cutoff_percentile,cutoff_value,threshold,sample_count,arrival_rate_above_cutoff
range_pct_5m,0.50,0.0018118087,0.52,4030,0.930025
range_pct_5m,0.50,0.0018118087,0.53,4030,0.910422
range_pct_5m,0.50,0.0018118087,0.54,4030,0.889330
range_pct_5m,0.50,0.0018118087,0.55,4030,0.874442
range_pct_5m,0.50,0.0018118087,0.56,4030,0.855087
range_pct_5m,0.50,0.0018118087,0.57,4030,0.843176
range_pct_5m,0.50,0.0018118087,0.58,4030,0.829280
range_pct_5m,0.55,0.0019505518,0.52,3627,0.931900
range_pct_5m,0.55,0.0019505518,0.53,3627,0.912876
range_pct_5m,0.55,0.0019505518,0.54,3627,0.892197
range_pct_5m,0.55,0.0019505518,0.55,3627,0.877309
range_pct_5m,0.55,0.0019505518,0.56,3627,0.856907
range_pct_5m,0.55,0.0019505518,0.57,3627,0.845051
range_pct_5m,0.55,0.0019505518,0.58,3627,0.830714
range_pct_5m,0.60,0.0021159463,0.52,3224,0.933002
range_pct_5m,0.60,0.0021159463,0.53,3224,0.914392
range_pct_5m,0.60,0.0021159463,0.54,3224,0.893300
range_pct_5m,0.60,0.0021159463,0.55,3224,0.878722
range_pct_5m,0.60,0.0021159463,0.56,3224,0.858871
range_pct_5m,0.60,0.0021159463,0.57,3224,0.847705
range_pct_5m,0.60,0.0021159463,0.58,3224,0.833127
range_pct_5m,0.65,0.0023072029,0.52,2821,0.934775
range_pct_5m,0.65,0.0023072029,0.53,2821,0.915633
range_pct_5m,0.65,0.0023072029,0.54,2821,0.894009
range_pct_5m,0.65,0.0023072029,0.55,2821,0.878766
range_pct_5m,0.65,0.0023072029,0.56,2821,0.859270
range_pct_5m,0.65,0.0023072029,0.57,2821,0.847926
range_pct_5m,0.65,0.0023072029,0.58,2821,0.834101
range_pct_5m,0.70,0.0025292754,0.52,2418,0.933002
range_pct_5m,0.70,0.0025292754,0.53,2418,0.915219
range_pct_5m,0.70,0.0025292754,0.54,2418,0.895368
range_pct_5m,0.70,0.0025292754,0.55,2418,0.878825
range_pct_5m,0.70,0.0025292754,0.56,2418,0.859801
range_pct_5m,0.70,0.0025292754,0.57,2418,0.848222
range_pct_5m,0.70,0.0025292754,0.58,2418,0.832920
range_pct_5m,0.75,0.0027794267,0.52,2015,0.931017
range_pct_5m,0.75,0.0027794267,0.53,2015,0.912159
range_pct_5m,0.75,0.0027794267,0.54,2015,0.893300
range_pct_5m,0.75,0.0027794267,0.55,2015,0.876427
range_pct_5m,0.75,0.0027794267,0.56,2015,0.856079
range_pct_5m,0.75,0.0027794267,0.57,2015,0.844665
range_pct_5m,0.75,0.0027794267,0.58,2015,0.828784
range_pct_5m,0.80,0.0030597260,0.52,1612,0.926799
range_pct_5m,0.80,0.0030597260,0.53,1612,0.908809
range_pct_5m,0.80,0.0030597260,0.54,1612,0.887717
range_pct_5m,0.80,0.0030597260,0.55,1612,0.869727
range_pct_5m,0.80,0.0030597260,0.56,1612,0.849876
range_pct_5m,0.80,0.0030597260,0.57,1612,0.838089
range_pct_5m,0.80,0.0030597260,0.58,1612,0.824442
range_pct_5m,0.85,0.0034639449,0.52,1209,0.925558
range_pct_5m,0.85,0.0034639449,0.53,1209,0.906534
range_pct_5m,0.85,0.0034639449,0.54,1209,0.884202
range_pct_5m,0.85,0.0034639449,0.55,1209,0.862696
range_pct_5m,0.85,0.0034639449,0.56,1209,0.840364
range_pct_5m,0.85,0.0034639449,0.57,1209,0.827957
range_pct_5m,0.85,0.0034639449,0.58,1209,0.814723
range_pct_5m,0.90,0.0040956363,0.52,806,0.921836
range_pct_5m,0.90,0.0040956363,0.53,806,0.903226
range_pct_5m,0.90,0.0040956363,0.54,806,0.884615
range_pct_5m,0.90,0.0040956363,0.55,806,0.869727
range_pct_5m,0.90,0.0040956363,0.56,806,0.848635
range_pct_5m,0.90,0.0040956363,0.57,806,0.832506
range_pct_5m,0.90,0.0040956363,0.58,806,0.821340
range_pct_5m,0.95,0.0052006368,0.52,403,0.920596
range_pct_5m,0.95,0.0052006368,0.53,403,0.898263
range_pct_5m,0.95,0.0052006368,0.54,403,0.878412
range_pct_5m,0.95,0.0052006368,0.55,403,0.873449
range_pct_5m,0.95,0.0052006368,0.56,403,0.853598
range_pct_5m,0.95,0.0052006368,0.57,403,0.838710
