threshold,metric,arrived_count,missed_count,arrived_mean,missed_mean,arrived_median,missed_median,mean_gap
0.52,range_pct_5m,7643,417,0.0022141132,0.0022799291,0.0018138955,0.0017454727,-0.0000658159
0.52,return_std_1m_5m,7643,417,0.0005313287,0.0005582508,0.0004283168,0.0004082299,-0.0000269221
0.53,range_pct_5m,7489,571,0.0022186692,0.0022024235,0.0018159993,0.0016964315,0.0000162457
0.53,return_std_1m_5m,7489,571,0.0005315445,0.0005481601,0.0004295124,0.0004016069,-0.0000166156
0.54,range_pct_5m,7325,735,0.0022198072,0.0021947079,0.0018175834,0.0017226430,0.0000250993
0.54,return_std_1m_5m,7325,735,0.0005310550,0.0005493309,0.0004295110,0.0004073753,-0.0000182758
0.55,range_pct_5m,7182,878,0.0022235885,0.0021678646,0.0018194314,0.0017235629,0.0000557239
0.55,return_std_1m_5m,7182,878,0.0005322063,0.0005369364,0.0004296771,0.0004065111,-0.0000047301
0.56,range_pct_5m,7009,1051,0.0022233107,0.0021788895,0.0018197562,0.0017488397,0.0000444212
0.56,return_std_1m_5m,7009,1051,0.0005318455,0.0005385643,0.0004302100,0.0004073753,-0.0000067188
0.57,range_pct_5m,6913,1147,0.0022211298,0.0021957519,0.0018183204,0.0017587683,0.0000253779
0.57,return_std_1m_5m,6913,1147,0.0005317268,0.0005387173,0.0004300932,0.0004108593,-0.0000069905
0.58,range_pct_5m,6814,1246,0.0022221006,0.0021924595,0.0018187580,0.0017598442,0.0000296411
0.58,return_std_1m_5m,6814,1246,0.0005316982,0.0005383183,0.0004301516,0.0004128188,-0.0000066201
