metric,bucket,bucket_label,bucket_min,bucket_max,threshold,sample_count,arrival_rate
range_pct_5m,1,Q1,0.0000001470,0.0005242501,0.52,268,0.895522
range_pct_5m,1,Q1,0.0000001470,0.0005242501,0.53,268,0.876866
range_pct_5m,1,Q1,0.0000001470,0.0005242501,0.54,268,0.858209
range_pct_5m,1,Q1,0.0000001470,0.0005242501,0.55,268,0.843284
range_pct_5m,1,Q1,0.0000001470,0.0005242501,0.56,268,0.820896
range_pct_5m,1,Q1,0.0000001470,0.0005242501,0.57,268,0.809701
range_pct_5m,1,Q1,0.0000001470,0.0005242501,0.58,268,0.791045
range_pct_5m,2,Q2,0.0005247287,0.0006652188,0.52,269,0.947955
range_pct_5m,2,Q2,0.0005247287,0.0006652188,0.53,269,0.910781
range_pct_5m,2,Q2,0.0005247287,0.0006652188,0.54,269,0.892193
range_pct_5m,2,Q2,0.0005247287,0.0006652188,0.55,269,0.877323
range_pct_5m,2,Q2,0.0005247287,0.0006652188,0.56,269,0.847584
range_pct_5m,2,Q2,0.0005247287,0.0006652188,0.57,269,0.836431
range_pct_5m,2,Q2,0.0005247287,0.0006652188,0.58,269,0.810409
range_pct_5m,3,Q3,0.0006652719,0.0007776472,0.52,269,0.918216
range_pct_5m,3,Q3,0.0006652719,0.0007776472,0.53,269,0.892193
range_pct_5m,3,Q3,0.0006652719,0.0007776472,0.54,269,0.862454
range_pct_5m,3,Q3,0.0006652719,0.0007776472,0.55,269,0.843866
range_pct_5m,3,Q3,0.0006652719,0.0007776472,0.56,269,0.825279
range_pct_5m,3,Q3,0.0006652719,0.0007776472,0.57,269,0.817844
range_pct_5m,3,Q3,0.0006652719,0.0007776472,0.58,269,0.810409
range_pct_5m,4,Q4,0.0007783129,0.0008801084,0.52,268,0.951493
range_pct_5m,4,Q4,0.0007783129,0.0008801084,0.53,268,0.921642
range_pct_5m,4,Q4,0.0007783129,0.0008801084,0.54,268,0.902985
range_pct_5m,4,Q4,0.0007783129,0.0008801084,0.55,268,0.880597
range_pct_5m,4,Q4,0.0007783129,0.0008801084,0.56,268,0.861940
range_pct_5m,4,Q4,0.0007783129,0.0008801084,0.57,268,0.850746
range_pct_5m,4,Q4,0.0007783129,0.0008801084,0.58,268,0.843284
range_pct_5m,5,Q5,0.0008815217,0.0009702941,0.52,269,0.966543
range_pct_5m,5,Q5,0.0008815217,0.0009702941,0.53,269,0.936803
range_pct_5m,5,Q5,0.0008815217,0.0009702941,0.54,269,0.918216
range_pct_5m,5,Q5,0.0008815217,0.0009702941,0.55,269,0.899628
range_pct_5m,5,Q5,0.0008815217,0.0009702941,0.56,269,0.869888
range_pct_5m,5,Q5,0.0008815217,0.0009702941,0.57,269,0.866171
range_pct_5m,5,Q5,0.0008815217,0.0009702941,0.58,269,0.855019
range_pct_5m,6,Q6,0.0009705805,0.0010535504,0.52,269,0.951673
range_pct_5m,6,Q6,0.0009705805,0.0010535504,0.53,269,0.929368
range_pct_5m,6,Q6,0.0009705805,0.0010535504,0.54,269,0.910781
range_pct_5m,6,Q6,0.0009705805,0.0010535504,0.55,269,0.884758
range_pct_5m,6,Q6,0.0009705805,0.0010535504,0.56,269,0.869888
range_pct_5m,6,Q6,0.0009705805,0.0010535504,0.57,269,0.858736
range_pct_5m,6,Q6,0.0009705805,0.0010535504,0.58,269,0.851301
range_pct_5m,7,Q7,0.0010536144,0.0011296824,0.52,268,0.940299
range_pct_5m,7,Q7,0.0010536144,0.0011296824,0.53,268,0.925373
range_pct_5m,7,Q7,0.0010536144,0.0011296824,0.54,268,0.902985
range_pct_5m,7,Q7,0.0010536144,0.0011296824,0.55,268,0.869403
range_pct_5m,7,Q7,0.0010536144,0.0011296824,0.56,268,0.835821
range_pct_5m,7,Q7,0.0010536144,0.0011296824,0.57,268,0.828358
range_pct_5m,7,Q7,0.0010536144,0.0011296824,0.58,268,0.820896
range_pct_5m,8,Q8,0.0011305701,0.0012146274,0.52,269,0.955390
range_pct_5m,8,Q8,0.0011305701,0.0012146274,0.53,269,0.921933
range_pct_5m,8,Q8,0.0011305701,0.0012146274,0.54,269,0.903346
range_pct_5m,8,Q8,0.0011305701,0.0012146274,0.55,269,0.892193
range_pct_5m,8,Q8,0.0011305701,0.0012146274,0.56,269,0.862454
range_pct_5m,8,Q8,0.0011305701,0.0012146274,0.57,269,0.855019
range_pct_5m,8,Q8,0.0011305701,0.0012146274,0.58,269,0.836431
range_pct_5m,9,Q9,0.0012147389,0.0012894422,0.52,269,0.940520
range_pct_5m,9,Q9,0.0012147389,0.0012894422,0.53,269,0.914498
range_pct_5m,9,Q9,0.0012147389,0.0012894422,0.54,269,0.895911
range_pct_5m,9,Q9,0.0012147389,0.0012894422,0.55,269,0.884758
range_pct_5m,9,Q9,0.0012147389,0.0012894422,0.56,269,0.851301
range_pct_5m,9,Q9,0.0012147389,0.0012894422,0.57,269,0.836431
range_pct_5m,9,Q9,0.0012147389,0.0012894422,0.58,269,0.814126
range_pct_5m,10,Q10,0.0012896341,0.0013633632,0.52,268,0.940299
range_pct_5m,10,Q10,0.0012896341,0.0013633632,0.53,268,0.921642
range_pct_5m,10,Q10,0.0012896341,0.0013633632,0.54,268,0.884328
range_pct_5m,10,Q10,0.0012896341,0.0013633632,0.55,268,0.869403
range_pct_5m,10,Q10,0.0012896341,0.0013633632,0.56,268,0.847015
range_pct_5m,10,Q10,0.0012896341,0.0013633632,0.57,268,0.843284
range_pct_5m,10,Q10,0.0012896341,0.0013633632,0.58,268,0.828358
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.52,269,0.959108
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.53,269,0.955390
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.54,269,0.940520
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.55,269,0.914498
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.56,269,0.903346
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.57,269,0.895911
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.58,269,0.877323
range_pct_5m,12,Q12,0.0014508072,0.0015390002,0.52,269,0.959108
range_pct_5m,12,Q12,0.0014508072,0.0015390002,0.53,269,0.940520
range_pct_5m,12,Q12,0.0014508072,0.0015390002,0.54,269,0.936803
