metric,cutoff_percentile,cutoff_value,threshold,sample_count,arrival_rate_above_cutoff
range_pct_5m,0.50,0.0018118087,0.52,4030,0.950620
range_pct_5m,0.50,0.0018118087,0.53,4030,0.933747
range_pct_5m,0.50,0.0018118087,0.54,4030,0.913648
range_pct_5m,0.50,0.0018118087,0.55,4030,0.897022
range_pct_5m,0.50,0.0018118087,0.56,4030,0.875682
range_pct_5m,0.50,0.0018118087,0.57,4030,0.863027
range_pct_5m,0.50,0.0018118087,0.58,4030,0.851117
range_pct_5m,0.55,0.0019505518,0.52,3627,0.949269
range_pct_5m,0.55,0.0019505518,0.53,3627,0.931900
range_pct_5m,0.55,0.0019505518,0.54,3627,0.911497
range_pct_5m,0.55,0.0019505518,0.55,3627,0.894403
range_pct_5m,0.55,0.0019505518,0.56,3627,0.874276
range_pct_5m,0.55,0.0019505518,0.57,3627,0.860766
range_pct_5m,0.55,0.0019505518,0.58,3627,0.849462
range_pct_5m,0.60,0.0021159463,0.52,3224,0.948201
range_pct_5m,0.60,0.0021159463,0.53,3224,0.931141
range_pct_5m,0.60,0.0021159463,0.54,3224,0.910670
range_pct_5m,0.60,0.0021159463,0.55,3224,0.894541
range_pct_5m,0.60,0.0021159463,0.56,3224,0.873139
range_pct_5m,0.60,0.0021159463,0.57,3224,0.860422
range_pct_5m,0.60,0.0021159463,0.58,3224,0.848325
range_pct_5m,0.65,0.0023072029,0.52,2821,0.947891
range_pct_5m,0.65,0.0023072029,0.53,2821,0.930876
range_pct_5m,0.65,0.0023072029,0.54,2821,0.908898
range_pct_5m,0.65,0.0023072029,0.55,2821,0.891882
range_pct_5m,0.65,0.0023072029,0.56,2821,0.869550
range_pct_5m,0.65,0.0023072029,0.57,2821,0.857143
range_pct_5m,0.65,0.0023072029,0.58,2821,0.845445
range_pct_5m,0.70,0.0025292754,0.52,2418,0.945409
range_pct_5m,0.70,0.0025292754,0.53,2418,0.928867
range_pct_5m,0.70,0.0025292754,0.54,2418,0.906534
range_pct_5m,0.70,0.0025292754,0.55,2418,0.888751
range_pct_5m,0.70,0.0025292754,0.56,2418,0.868900
range_pct_5m,0.70,0.0025292754,0.57,2418,0.856079
range_pct_5m,0.70,0.0025292754,0.58,2418,0.844913
range_pct_5m,0.75,0.0027794267,0.52,2015,0.942432
